Competitor,Product Range Score (Numerical),Product Range Score (Qualitative),Categories
Bikaji Foods,7,High,"Namkeen, Sweets, Papad, Gift Packs, Frozen Foods, Cookies & Bakery, Ready-to-Eat Meals"
Bikanervala (Bikano),6,High,"Namkeen, Sweets, Papad & Snacks, Ready-to-Eat Meals, Beverages & Desserts, Frozen Foods"
Gopal Snacks,6,High,"Gathiya, Namkeen, Snack Pellets, Spices, Wafers, Papad"
G Pulla Reddy,6,High,"Sweets, Namkeen, Pickles, Bakery Items, Gift Hampers, Spices"
Balaji Wafers,5,Medium,"Potato Chips, Namkeen, Extruded Snacks, Western Snacks, Traditional Gujarati Snacks"
ITC,5,Medium,"Snacks, Ready-to-Eat Meals, Biscuits, Dairy Products, Beverages"
Chhappan Bhog,5,Medium,"Sweets, Namkeen, Dry Fruits, Gift Packs, Low-Calorie Sweets"
Tata Sampann,5,Medium,"Pulses, Spices, Besan, Poha, Dry Fruits, Ready-to-Cook Mixes"
Mrs. Bectors Food (Cremica & English Oven),5,Medium,"Biscuits, Breads, Cakes, Sauces, Mayonnaise"
Britannia Industries,5,High,"Biscuits, Breads, Dairy Products, Cakes, Snacks"
Prataap Snacks,4,Medium,"Potato Chips, Extruded Snacks, Namkeen, Traditional Indian Snacks"
Chitale Bandhu,4,Medium,"Sweets, Namkeen, Dairy Products, Bakery Items"
Bikanervala,4,Medium,"Sweets, Namkeen, Bakery Items, Ready-to-Eat Meals"
Sri Krishna Sweets,4,Medium,"Sweets, Savouries, Pickles, Gift Packs"
MTR Foods,4,High,"Ready-to-Eat Meals, Spices, Breakfast Mixes, Snacks"
ITC Kitchens of India,4,High,"Ready-to-Eat Meals, Ready-to-Cook Pastes, Desserts, Chutneys"
Tasty Bite,4,High,"Ready-to-Eat Meals, Rice, Noodles, Organic Products"
Cornitos,4,Medium,"Nachos, Tortilla Chips, Dips, Nuts"
ITC Foods (Sunfeast),4,High,"Biscuits, Noodles, Pasta, Beverages"
Open Secret,4,Medium,"Cookies, Snacks, Chocolates, Gift Packs"
Kaleva,3,Medium,"Sweets, Namkeen, Bakery Items"
Chandu Halwai,3,Medium,"Sweets, Namkeen, Bakery Items"
Mithaas,3,Medium,"Sweets, Namkeen, Bakery Items"
Tewari Bros,3,Medium,"Sweets, Namkeen, Bakery Items"
Gits,3,Medium,"Ready-to-Eat Meals, Instant Mixes, Dairy Products"
Kohinoor Xpress Eats,3,Medium,"Ready-to-Eat Meals, Rice, Sauces"
Coca-Cola,3,Medium,"Beverages, Juices, Energy Drinks"
Varun Beverages,3,Medium,"Beverages, Bottled Water, Juices"
Lay's (PepsiCo),3,Medium,"Potato Chips, Snacks, Extruded Snacks"
Karachi Bakery,3,Medium,"Biscuits, Cakes, Pastries, Confectioneries"
Modern Foods,3,Medium,"Breads, Cakes, Bakery Products"
Mrs. Bectors Cremica,3,Medium,"Biscuits, Breads, Sauces, Mayonnaise"
Daily Bread (Spencerâ€™s),3,Medium,"Breads, Cakes, Pastries, Confectioneries"
Just Bake,3,Medium,"Cakes, Pastries, Breads, Savouries"
Local Bakers / D2C brands,3,Medium,"Breads, Cakes, Pastries, Regional Specialties"
QuikShef,2,Low,"Ready-to-Eat Meals, Snacks"
Faasos/Bhukkad (RTE),2,Low,"Ready-to-Eat Meals, Snacks"
